Depth	Azimuth	Dip	Aperture	Type
m	deg	deg	mm	 NaN
2.11	78.11	21.13	0.00	Fracture
4.13	329.54	77.60	0.00	Foliation
4.52	291.08	80.68	0.00	Fracture
4.97	120.08	56.58	0.00	Fracture
5.66	106.08	55.71	24.29	Quartz
8.85	329.83	71.67	0.00	Foliation
9.44	155.52	83.55	0.00	Fracture
10.56	193.58	55.57	0.00	Fracture
12.26	312.06	47.29	0.00	Fracture
12.50	4.81	54.83	25.58	Quartz
12.86	179.92	67.65	9.09	Quartz
13.24	170.13	70.94	20.95	Quartz
13.45	177.76	63.43	0.00	Fracture
14.83	214.96	37.65	0.00	Fracture
14.85	143.60	66.38	0.00	Fracture
15.40	187.34	47.98	0.00	Fracture
15.54	213.65	27.96	0.00	Fracture
15.57	185.46	60.58	308.85	S3 Shear-zone
15.58	181.43	39.38	0.00	Fracture
16.20	54.35	53.20	0.00	Fracture
16.70	32.26	75.24	0.00	Fracture
17.30	74.06	58.59	0.00	Fracture
17.51	154.36	59.09	327.00	Quartz
17.58	57.71	54.86	0.00	Fracture
19.18	196.60	59.99	0.00	Fracture
19.34	166.63	56.55	315.75	S3 Shear-zone
19.80	241.31	64.76	0.00	Fracture
20.56	193.30	55.35	0.00	Fracture
20.59	182.98	52.31	35.02	S3 Shear-zone
20.73	174.92	65.19	8.47	S3 Shear-zone
21.18	178.10	72.90	1612.92	S1 Shear-zone
22.40	131.65	38.97	57.24	Quartz
22.64	158.52	71.49	24.56	Quartz
24.74	172.47	53.33	0.00	Fracture
25.48	162.41	59.30	0.00	Fracture
25.57	176.50	55.72	1539.04	S1 Shear-zone
27.05	169.16	88.88	0.00	Fracture
27.55	159.90	81.06	0.00	Fracture
31.14	166.40	54.90	1201.46	S1 Shear-zone
