 287     47.968     20.327     14.555
 288     48.304     20.324     14.925
 289     48.640     20.320     15.295
 290     48.976     20.317     15.665
 291     49.313     20.313     16.034
 292     49.650     20.310     16.405
 293     49.986     20.307     16.774
 294     50.322     20.305     17.144
 295     50.659     20.302     17.514
 296     50.995     20.300     17.885
 297     51.331     20.297     18.255
 298     51.667     20.295     18.626
 299     52.002     20.293     18.996
 300     52.338     20.291     19.366
 301     52.674     20.289     19.736
 302     53.010     20.287     20.107
 303     53.346     20.285     20.477
 304     53.681     20.284     20.848
 305     54.016     20.283     21.219
 306     54.352     20.282     21.590
 307     54.688     20.280     21.961
 308     55.023     20.279     22.331
 309     55.358     20.278     22.702
 310     55.694     20.277     23.073
 311     56.029     20.276     23.444
 312     56.365     20.275     23.815
 313     56.700     20.274     24.186
 314     57.035     20.273     24.556
 315     57.371     20.273     24.927
 316     57.707     20.272     25.298
 317     58.042     20.272     25.668
 318     58.377     20.272     26.039
 319     58.713     20.271     26.410
 320     59.049     20.270     26.780
 321     59.384     20.270     27.151
 322     59.719     20.269     27.522
 323     60.054     20.268     27.893
 324     60.389     20.267     28.264
 325     60.725     20.267     28.635
 326     61.060     20.266     29.006
 327     61.395     20.264     29.377
 328     61.730     20.263     29.748
 329     62.065     20.262     30.119
 330     62.400     20.261     30.490
 331     62.736     20.260     30.861
 332     63.072     20.258     31.232
 333     63.407     20.257     31.602
 334     30.854     20.276      9.992
 335     31.268     20.276     10.272
 336     31.683     20.275     10.552
 337     32.097     20.274     10.832
 338     32.511     20.273     11.112
 339     32.925     20.273     11.393
 340     33.340     20.272     11.673
 341     33.753     20.272     11.953
 342     34.167     20.271     12.233
 343     34.581     20.270     12.514
 344     34.995     20.270     12.794
 345     35.409     20.269     13.074
 346     35.823     20.269     13.355
 347     36.238     20.268     13.636
 348     36.652     20.268     13.916
 349     37.065     20.267     14.196
 350     37.478     20.267     14.477
 351     37.892     20.266     14.758
 352     38.306     20.266     15.039
 353     38.720     20.265     15.319
 354     39.133     20.265     15.600
 355     39.547     20.264     15.881
 356     39.961     20.263     16.161
 357     40.375     20.263     16.442
 358     40.789     20.262     16.723
 359     41.202     20.261     17.004
