Depth	Azimuth	Dip	Aperture	Type
m	deg	deg	mm	 NaN
6.61	162.04	82.41	4.69	Quartz
8.98	169.80	75.94	0.00	Fracture
9.89	156.16	68.52	0.00	Fracture
12.49	172.31	66.65	0.00	Fracture
12.78	171.54	68.47	0.00	Fracture
15.33	145.43	82.55	0.00	Fracture
15.94	159.66	76.97	0.00	Fracture
17.39	168.81	67.98	0.00	Fracture
17.52	168.82	69.72	1.15	Fracture
19.42	157.49	74.12	40.90	S1 Shear-zone
19.50	160.62	72.33	1.31	Fracture
19.96	199.03	59.47	0.00	Fracture
20.50	155.17	80.84	0.00	Fracture
21.52	159.85	84.31	0.00	Fracture
21.60	152.28	84.20	0.00	Fracture
24.03	173.08	68.83	2.61	Fracture
25.36	156.82	69.57	0.00	Foliation
32.44	158.16	78.91	24.21	S3 Shear-zone
33.39	185.09	70.30	92.00	S3 Shear-zone
35.82	163.91	68.93	0.00	Fracture
36.07	166.23	75.89	0.00	Fracture
36.10	229.80	79.39	0.00	Fracture
36.25	168.13	80.33	0.00	Fracture
36.27	197.09	64.31	0.00	Fracture
36.55	82.33	88.97	0.00	Fracture
36.57	174.85	76.77	0.00	Fracture
36.64	99.80	72.26	0.00	Fracture
36.93	181.07	72.07	0.00	Fracture
36.95	175.68	76.07	0.00	Fracture
38.69	86.42	62.70	0.00	Fracture
38.72	87.23	76.70	0.00	Fracture
39.08	75.32	70.34	0.00	Fracture
39.23	60.50	83.03	0.00	Fracture
40.00	80.12	60.43	0.00	Fracture
40.78	184.32	86.38	0.00	Fracture
41.01	183.32	79.57	0.00	Fracture
41.55	345.37	80.22	0.00	Fracture
41.61	171.92	81.37	0.00	Fracture
41.70	335.69	73.95	0.00	Fracture
41.74	189.90	86.82	0.00	Fracture
41.90	174.15	85.80	0.00	Fracture
42.05	176.65	86.84	179.31	S3 Shear-zone
